Group ID,Temporal sequence,Group size,Cumulative rainfall (mm),Average maximum temperature (degrees C),fGC (g/ng dry feces)
5,28,62,48.8,31.2,51.6
5,29,59,0.0,30.2,54.8
5,30,59,0.0,30.3,70.6
5,31,60,0.8,28.8,59.3
5,32,60,1.0,32.1,80.3
5,33,60,7.2,34.0,62.8
5,34,62,50.5,32.4,59.4
5,35,63,130.9,31.0,77.3
5,36,66,5.4,32.3,75.9
5,37,65,9.8,36.1,54.8
5,38,65,12.7,36.0,70.6
5,39,66,19.6,34.6,81.3
5,40,65,101.8,29.8,71.5
5,41,65,0.0,30.5,47.8
5,42,67,0.0,29.8,85.6
5,43,66,0.0,30.6,80.9
5,44,66,0.0,32.6,67.5
5,45,65,0.8,33.8,78.6
5,46,67,27.6,32.4,76.9
5,47,68,7.0,33.4,72.1
5,48,70,68.0,32.7,75.2
5,49,69,42.6,32.4,66.4
5,50,69,30.8,35.0,79.2
5,51,70,30.6,33.3,45.1
5,52,70,6.6,33.0,57.7
5,53,69,0.0,30.4,35.6
5,54,68,0.0,30.8,60.4
5,55,67,0.0,30.7,51.0
5,56,69,0.2,32.7,41.4
5,57,69,7.8,33.5,52.0
5,58,74,11.0,34.0,45.1
5,59,73,77.6,33.3,46.8
5,60,73,16.6,35.1,39.9
5,61,71,0.0,35.8,51.8
5,62,73,116.2,35.3,66.9
5,63,73,90.4,33.2,58.8
5,64,74,23.9,33.4,42.8
5,65,72,4.2,31.1,54.7
5,66,71,1.0,29.0,71.3
5,67,75,0.0,29.8,72.2
5,68,77,0.0,32.8,72.6
5,69,78,4.6,34.4,71.1
5,70,78,30.0,32.7,60.3
5,71,81,0.0,34.2,51.6
5,72,82,10.8,34.5,56.3
5,73,83,13.4,35.8,62.8
5,74,84,106.8,34.4,57.1
5,75,85,36.6,32.5,68.4
5,76,83,27.4,32.4,65.4
5,77,82,0.0,31.8,65.0
5,78,83,0.0,29.4,76.8
5,79,84,0.0,32.0,93.1
5,80,85,0.0,32.0,75.1
5,81,84,2.2,34.1,132.6
5,82,85,55.1,32.0,71.1
5,83,87,243.8,32.2,70.5
5,84,87,64.4,31.7,64.1
5,85,87,11.0,35.0,103.9
5,86,88,2.8,36.3,76.4
5,87,90,25.0,34.9,64.9
5,88,95,8.0,33.6,66.2
5,89,96,0.0,32.9,79.4
5,90,95,0.0,31.4,54.8
5,91,96,3.2,31.3,65.8
5,92,96,0.0,33.3,78.7
5,93,99,5.5,33.8,85.2
5,94,97,16.4,33.5,68.4
5,95,96,45.4,33.0,62.8
5,96,97,32.2,33.6,45.4
5,97,98,10.6,34.7,53.1
5,98,95,73.5,35.0,64.1
5,99,96,4.4,33.2,67.6
5,100,100,4.0,32.9,85.4
